Neptunkód;Hiányzó feladatok száma;Kész feladatok száma;Határidőre kész feladat;Pontszám;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12
G2TMEQ;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IZBZI5;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G39U1B;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CRFLYO;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
ZLIGFG;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Q59R7A;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
ASUZZ9;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
VYXMK4;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
A5KYH8;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FZLXY3;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
MDRWRJ;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
WKWNWO;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
YBTV79;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
JQLMIG;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ZCNX55;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FHJPGE;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CXX9FI;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G1HB17;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ERKEMR;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
B64DIC;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
VZBLVT;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ZCA2VH;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
O70MLD;12;0;0;0;-2;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
C5OYBB;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
JNBLRW;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
N1EOCX;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
N5X9Q1;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
EAYIZC;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BA1YP5;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
DMZBES;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
S9PVK8;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
C8GJJW;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BI4UB8;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
BH02OW;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
UCCG17;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
BBCS8N;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ZRK0BY;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
E4IYBD;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JNOUCS;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
X9WVIZ;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Z4VH95;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
HIT72H;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NRQJBD;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AZEA65;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HFKZLJ;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BDRQ1E;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
DZTJQ5;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
SVIAUP;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JERGDT;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
DNQUWN;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
TAN9FC;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AHPFVO;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
L986E7;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
JMNC1Q;7;5;5;7,5;1,5;1,5;1,5;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ITUD9F;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
R25TTN;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
OU17SL;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
IPPXXU;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
FM9WYI;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BCOFVM;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
IIOBDN;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
BYRWCE;5;7;7;10,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;NaN;NaN;NaN;NaN;NaN;
NEIYMJ;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
F0EH27;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AJ7L82;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
MXN4JJ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CBK7GN;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
TBD0Y8;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
UG60YW;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GLK6K3;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ZFDTIK;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
KATI6W;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
U17SVH;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
C1BF8B;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
VK2BZ1;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
P4HHL9;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
XSK2AE;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
EAJRT0;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
V98ZO3;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
EEZNI6;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NYYIJ6;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
EB9BRU;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
BFEJNW;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
X7F8X2;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
A6U8UU;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
X1V9YI;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
A2SFQN;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JP5ZBV;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
HVBX3Z;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
DQ0RKE;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
JBZ139;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JHQK67;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FP6GUV;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CEFX0T;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ISCKHB;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
DNQCLH;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ZHFTKB;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
STSQ5G;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
XK0OQB;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FWRBQQ;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IGNJW5;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
P70QKA;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IDOGNE;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BLD370;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
C6JH7G;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
I4ZFA8;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
DE016A;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
R479AR;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
GMASFS;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
VAJCCN;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
D4IPLF;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
QJZNVF;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NTI4VD;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
DTFZCU;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IVEJRG;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
SXLTG1;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IR1PSA;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
UXI8GU;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
E14GO0;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
E569EW;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CLSLZ9;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G0379D;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AI6232;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
AH4IHS;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
HV6MUO;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GE1DCM;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;NaN;-2;-2;-2;-2;
ZM7BBT;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
H9XGMN;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
UN6SKD;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HBSTF1;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G52KXJ;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BOCC46;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Y4HUEU;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
J7909U;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
G1PEKQ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CH42RA;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JQONV9;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
WIFSTB;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GA4NUV;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
O04944;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
L4BDSH;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
LPCO6A;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
MSGDUQ;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Z3C8RB;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BDYZMC;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
DFF4JX;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
EKE0YC;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GEN1IM;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
RJ9DRB;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
V5B6IS;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
E8K26O;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CDLFBQ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
J9BGND;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
TTU71D;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Y1ZCHB;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
GSAQIQ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
XD39JE;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
I9TSR1;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
H4KBIS;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
QZ6PWK;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
TMITG7;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
TS4UZ8;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
H4BD5G;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NBKFN1;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
QXPVM9;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
WOXAQ9;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ACMW6D;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
EI429P;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
SZQ2D6;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
DBLU10;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
L8FUJL;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
ST2X0T;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IQXPM7;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
L1Z1RJ;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
D638IO;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
BL74ZG;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
LGYHXA;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
Q9EOVA;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
O7AFAT;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
LP9M4L;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
KYKGRS;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NPYOQ3;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
PJYJHW;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BWFPKU;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HPIUWO;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
MJ8GZH;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BVRNL8;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
WBIOKJ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CYKEEE;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
ED439S;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FI67RB;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JPUXTL;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
OIHPLA;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FXE1SZ;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
GRBN49;10;2;2;3;1,5;1,5;-2;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
F3JABA;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
LQ919H;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JGYAZG;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
IDYYD2;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
KAEZWR;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
SWX9O8;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
NU0W6C;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ACRCPC;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
J25IT7;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
BPD1ED;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
WM0362;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GNV37A;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
RB3Q0W;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CGO1BG;10;2;2;3;1,5;1,5;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G9KDZE;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FWIMCN;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
UZFK1E;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
PS8RQQ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
MGM25M;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
