Neptunkód;Hiányzó feladatok száma;Kész feladatok száma;Határidőre kész feladat;Pontszám;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12
Z82HLS;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FVR7DN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
LO819W;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
K96OM6;0;12;9;13,5;0;1,5;0;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
VR46PZ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CBJGN7;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;
VIX191;0;12;6;9;0;1,5;1,5;0;1,5;0;0;0;0;1,5;1,5;1,5;
AJWV4F;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;
C0T4VF;0;12;4;6;0;0;1,5;0;0;1,5;1,5;1,5;0;0;0;0;
IPE1D0;0;12;9;13,5;0;1,5;0;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
TJ9GVW;0;12;6;9;1,5;1,5;1,5;0;0;0;0;0;0;1,5;1,5;1,5;
GEN1IM;0;12;6;9;1,5;1,5;1,5;0;1,5;0;1,5;0;0;0;0;1,5;
Z4S38Z;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
AYHHJR;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
PGMTHD;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;
A6GTM3;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
F6V5UU;0;12;3;4,5;0;0;0;0;0;0;0;0;0;1,5;1,5;1,5;
BOAPAL;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
L57ZZJ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
Y4U0C7;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
D14CFK;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
HPIUWO;0;12;2;3;0;0;0;0;0;0;0;0;0;0;1,5;1,5;
H3A3SZ;11;1;1;1,5;1,5;NaN;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
DZTMZU;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;
PA3RWV;0;12;3;4,5;0;0;0;1,5;0;0;0;0;0;0;1,5;1,5;
F56EJN;0;12;4;6;0;0;0;0;0;1,5;0;0;0;1,5;1,5;1,5;
F0537Y;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;
Y5914L;2;10;9;13,5;-2;-2;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
IASJP5;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;0;0;
EG16R3;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;1,5;1,5;1,5;
RW9YJA;0;12;7;10,5;1,5;0;0;0;1,5;0;1,5;1,5;0;1,5;1,5;1,5;
IZRVA4;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
JAA5MK;0;12;8;12;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;0;
E9ZK9A;0;12;8;12;1,5;1,5;1,5;0;1,5;1,5;0;1,5;0;0;1,5;1,5;
FOS1DO;0;12;11;16,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
DPDJCI;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
XLBL1A;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
D97TVE;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
DNQUWN;0;12;5;7,5;1,5;1,5;0;0;0;0;0;0;0;1,5;1,5;1,5;
IQWZE7;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
PXN1UJ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
Y4JPQP;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;1,5;1,5;1,5;
GF03CA;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
AOG7H4;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
Z1667T;0;12;4;6;0;1,5;1,5;1,5;0;1,5;0;0;0;0;0;0;
ERDOBE;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
R6PGYX;0;12;11;16,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
HYURPK;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GD9ZSE;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
HFEKAR;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
BZ0Q2Q;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
JDM0K9;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CWW47M;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FFAC35;0;12;6;9;1,5;0;1,5;1,5;0;0;0;0;0;1,5;1,5;1,5;
Q0267O;0;12;7;10,5;1,5;0;0;1,5;1,5;1,5;1,5;1,5;0;1,5;0;0;
FKWBKB;0;12;5;7,5;0;0;0;0;0;0;1,5;1,5;0;1,5;1,5;1,5;
CSB524;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GCMLQG;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
IMYS7Y;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;0;0;
UN7GSY;0;12;5;7,5;0;1,5;0;0;0;1,5;0;1,5;0;1,5;1,5;0;
V1DFGZ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
X5KMC9;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
D33P2C;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Y8LLFE;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
BYV6V1;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
CXBPUJ;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
UOLF85;0;12;5;7,5;1,5;0;0;0;0;1,5;0;0;0;1,5;1,5;1,5;
G3TA5S;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
KATI6W;10;2;1;1,5;0;1,5;-2;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-2;
BQHXPY;0;12;10;15;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;1,5;1,5;1,5;
QJZNVF;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
XAV1VP;0;12;7;10,5;0;1,5;1,5;0;0;1,5;1,5;0;0;1,5;1,5;1,5;
X3H7GU;8;4;2;3;1,5;1,5;-2;-2;0;0;-2;-2;-2;NaN;NaN;NaN;
H0JMQQ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CYM03P;0;12;3;4,5;0;0;0;0;0;0;1,5;1,5;0;0;0;1,5;
CJPWRJ;0;12;8;12;1,5;1,5;0;0;1,5;1,5;1,5;1,5;0;0;1,5;1,5;
J6OQT3;0;12;7;10,5;1,5;1,5;0;0;0;1,5;1,5;1,5;0;0;1,5;1,5;
G5E7CQ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
RC92JG;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
F09BK9;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
ESV1CO;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
MNNYBC;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
JFJ522;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
S7NMGT;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
KNBU02;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
IE939F;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
PFGHUR;0;12;2;3;0;0;0;0;0;0;0;0;0;1,5;0;1,5;
DHKW5X;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
JQFCTP;0;12;5;7,5;0;0;0;0;1,5;0;1,5;1,5;0;1,5;1,5;0;
DWIU33;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
KBXMIT;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
OT16VC;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
AQ4RYQ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
I0K1M0;0;12;8;12;1,5;1,5;1,5;0;0;0;1,5;1,5;1,5;0;1,5;1,5;
O84AT7;0;12;11;16,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GEQQCX;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GL625Y;2;10;1;1,5;0;0;0;0;0;0;0;0;0;1,5;-2;-2;
E4JK7A;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
DETRZS;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
L8B8FZ;0;12;10;15;0;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CC75LC;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;0;0;1,5;1,5;
M1YGP6;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
UUSS5X;11;1;0;0;0;-2;-2;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
KSPITC;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FWRBQQ;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;1,5;1,5;1,5;
QWU6ZM;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;
G4SWMY;0;12;1;1,5;0;1,5;0;0;0;0;0;0;0;0;0;0;
AEUL65;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
HW2UUD;0;12;1;1,5;0;0;0;0;0;0;0;0;0;0;0;1,5;
AG895U;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;1,5;
N35HJW;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
WKZQEK;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
I1WW78;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
F3QCNB;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
AA9NDR;0;12;5;7,5;1,5;1,5;0;0;1,5;1,5;0;0;0;0;0;1,5;
TND245;2;10;8;12;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;-2;-2;
CPWFYW;0;12;9;13,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;0;1,5;1,5;1,5;
I721VY;0;12;9;13,5;0;0;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
LIVRB1;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
BLD370;2;10;2;3;1,5;0;0;0;0;0;0;0;0;1,5;-2;-2;
CV9WVY;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
GI6FXB;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
PPLA3F;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
YHLKZN;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
XYG96K;0;12;1;1,5;1,5;0;0;0;0;0;0;0;0;0;0;0;
DJQIVN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
WZF68M;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
BIT9GG;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
IF2B6B;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
IJ2EJ8;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
NZVJQX;5;7;7;10,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;NaN;NaN;NaN;NaN;NaN;
C4NM3L;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
KVK5CY;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CT42CZ;0;12;10;15;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;1,5;1,5;1,5;
YY6YBM;0;12;9;13,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;
MH012I;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
H9XGMN;3;9;3;4,5;0;0;0;0;1,5;0;1,5;1,5;-2;0;-2;NaN;
OYYFBF;0;12;10;15;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
PVFDW9;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;
MV26XA;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
ZM7BBT;7;5;4;6;1,5;1,5;1,5;1,5;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BT97GU;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;1,5;
DH24XT;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
YNB52M;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
GOJ7JC;0;12;10;15;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
KEFNLN;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;1,5;1,5;
GQ83VN;0;12;3;4,5;0;0;0;0;1,5;1,5;0;0;0;0;0;1,5;
PHVVZW;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
V4D8ZA;0;12;6;9;0;0;0;0;1,5;1,5;1,5;1,5;0;1,5;1,5;0;
STSQ5G;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;
KDYPSF;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
H5SOP8;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FLZ3GZ;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
FFAOLR;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
CLSLZ9;0;12;5;7,5;1,5;0;0;0;0;0;1,5;1,5;0;1,5;1,5;0;
L20AV1;0;12;3;4,5;0;1,5;0;0;1,5;1,5;0;0;0;0;0;0;
CMMTO4;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
ZYH7FN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
HIHGOW;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;
NVZQ4W;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
HROU6B;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
H8JKEC;0;12;10;15;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
G6KJ09;0;12;11;16,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
AD17HZ;0;12;9;13,5;1,5;1,5;0;0;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
IAOQ4D;0;12;3;4,5;0;1,5;0;0;0;1,5;0;0;0;1,5;0;0;
ZJDOVQ;0;12;1;1,5;0;0;0;0;0;0;0;0;0;0;0;1,5;
G79LM6;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
JDMXIK;5;7;0;0;0;0;0;-2;-2;0;-2;0;-2;0;0;-2;
YGMBZS;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
BFEJNW;12;0;0;0;-2;-2;-2;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BHWUU6;0;12;6;9;0;0;0;1,5;1,5;1,5;0;0;0;1,5;1,5;1,5;
DCX846;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
TSUIK5;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;
KYKGRS;0;12;10;15;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;1,5;1,5;1,5;
PBDFNN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
H75BIX;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
A9BW2H;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
K0Q10T;0;12;8;12;1,5;1,5;0;1,5;1,5;0;0;1,5;0;1,5;1,5;1,5;
HMK0ZT;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
JH06ZA;0;12;8;12;1,5;1,5;1,5;0;0;1,5;1,5;1,5;0;0;1,5;1,5;
F3JEVR;5;7;6;9;1,5;1,5;1,5;1,5;1,5;0;1,5;NaN;NaN;NaN;NaN;NaN;
GV2JXN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
DUPX2P;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
UQ6IQN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
A1BJOH;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
IWGBCU;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
NL50MW;0;12;10;15;0;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
ROPHKL;11;1;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AI6232;2;10;8;12;1,5;1,5;1,5;1,5;-2;0;0;1,5;-2;1,5;1,5;1,5;
VQC0NB;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
BJ2RTP;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
S5K8NY;0;12;8;12;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;1,5;
OI63UF;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;1,5;
PNF6F5;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
EY5GZ8;0;12;7;10,5;0;1,5;0;1,5;1,5;0;1,5;0;0;1,5;1,5;1,5;
SE47Z1;1;11;9;13,5;0;1,5;1,5;1,5;0;1,5;1,5;1,5;-2;1,5;1,5;1,5;
EVG5ZU;1;11;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;-2;
UOQY33;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GJEGFN;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;
F4IGGR;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
UT4NOB;0;12;4;6;0;1,5;1,5;1,5;0;0;1,5;0;0;0;0;0;
AY1XYE;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
B3TV1W;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FIR5IM;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;1,5;1,5;
WBU8RO;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
WFLELD;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;
TNVNMG;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
BQ5XF4;0;12;6;9;0;1,5;0;0;0;0;1,5;1,5;0;1,5;1,5;1,5;
X3UPDJ;0;12;10;15;0;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;
SYBRFY;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
F60DMW;0;12;8;12;1,5;1,5;1,5;1,5;0;1,5;0;0;0;1,5;1,5;1,5;
LJQPY6;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
SVQOMT;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
DSHNDL;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
L1Z1RJ;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
